uid,score
368056.0,100.0
368057.0,92.0
368058.0,14.0
368061.0,84.0
368064.0,59.0
368067.0,78.0
368069.0,96.0
368070.0,86.0
368072.0,95.0
368075.0,95.0
368077.0,90.0
368078.0,82.0
368079.0,83.0
368080.0,91.0
368081.0,100.0
368082.0,90.0
368083.0,91.0
368086.0,51.0
368087.0,45.0
368089.0,81.0
368090.0,57.0
368091.0,88.0
368092.0,48.0
368094.0,23.0
368095.0,83.0
368097.0,79.0
368098.0,85.0
368103.0,74.0
368104.0,77.0
368105.0,98.0
368106.0,4.0
368108.0,92.0
368109.0,89.0
368111.0,60.0
368112.0,91.0
368113.0,47.0
368114.0,100.0
368117.0,85.0
368124.0,92.0
368126.0,97.0
368127.0,99.0
368129.0,80.0
368132.0,68.0
368134.0,83.0
368136.0,54.0
368138.0,56.0
368139.0,13.0
368140.0,93.0
368141.0,95.0
368145.0,93.0
368147.0,54.0
368148.0,24.0
368151.0,94.0
368152.0,54.0
368153.0,90.0
368156.0,84.0
368157.0,77.0
368158.0,47.0
368159.0,88.0
368161.0,96.0
368162.0,90.0
368163.0,94.0
368164.0,49.0
368165.0,92.0
368167.0,94.0
368168.0,83.0
368169.0,95.0
368170.0,71.0
368172.0,99.0
368173.0,90.0
368174.0,88.0
368175.0,76.0
368177.0,82.0
368179.0,68.0
368180.0,81.0
368182.0,29.0
368186.0,63.0
368188.0,43.0
368190.0,96.0
368191.0,75.0
368192.0,89.0
368193.0,98.0
368195.0,62.0
368196.0,55.0
368197.0,91.0
368198.0,86.0
368199.0,99.0
368200.0,73.0
368206.0,90.0
368207.0,36.0
368208.0,100.0
368209.0,87.0
368210.0,50.0
368211.0,52.0
368212.0,88.0
368213.0,99.0
368214.0,61.0
368215.0,40.0
368216.0,95.0
368217.0,85.0
368218.0,76.0
368220.0,61.0
368221.0,87.0
368222.0,89.0
368223.0,94.0
368224.0,67.0
368226.0,83.0
368229.0,97.0
368231.0,100.0
368234.0,32.0
368236.0,91.0
368237.0,85.0
368242.0,92.0
368244.0,91.0
368245.0,83.0
368246.0,62.0
368248.0,52.0
368253.0,79.0
368254.0,47.0
368255.0,58.0
368257.0,55.0
368262.0,91.0
368263.0,58.0
368264.0,85.0
368265.0,94.0
368266.0,89.0
368268.0,43.0
368271.0,83.0
368273.0,85.0
368276.0,93.0
368278.0,92.0
368281.0,96.0
368282.0,44.0
368284.0,86.0
368287.0,41.0
368288.0,66.0
368289.0,93.0
368291.0,90.0
368293.0,96.0
368296.0,69.0
368299.0,75.0
368300.0,86.0
368303.0,33.0
368304.0,94.0
368305.0,87.0
368306.0,85.0
368308.0,100.0
368309.0,91.0
368311.0,90.0
368312.0,94.0
368315.0,66.0
368316.0,92.0
368319.0,60.0
368320.0,28.0
368321.0,60.0
368322.0,74.0
368324.0,84.0
368325.0,91.0
368327.0,94.0
368329.0,73.0
368330.0,26.0
368331.0,60.0
368332.0,5.0
368334.0,36.0
368335.0,95.0
368338.0,93.0
368339.0,92.0
368340.0,88.0
368342.0,93.0
368344.0,96.0
368347.0,52.0
368349.0,70.0
368352.0,87.0
368354.0,91.0
368356.0,56.0
368358.0,90.0
368362.0,99.0
368363.0,98.0
368364.0,97.0
368365.0,83.0
368370.0,92.0
368372.0,83.0
368373.0,100.0
368374.0,50.0
368375.0,92.0
368378.0,80.0
368379.0,89.0
368381.0,45.0
368383.0,78.0
368384.0,88.0
368385.0,78.0
368387.0,100.0
368388.0,94.0
368391.0,82.0
368396.0,60.0
368399.0,90.0
368400.0,87.0
368402.0,70.0
368404.0,97.0
368406.0,85.0
368407.0,51.0
368408.0,81.0
368411.0,97.0
368412.0,95.0
368414.0,77.0
368415.0,60.0
368416.0,88.0
368417.0,88.0
368420.0,87.0
368421.0,98.0
368422.0,87.0
368423.0,65.0
368425.0,80.0
368427.0,96.0
368429.0,87.0
368431.0,96.0
368432.0,85.0
368433.0,77.0
368434.0,100.0
368436.0,97.0
368437.0,81.0
368438.0,62.0
368442.0,78.0
368446.0,89.0
368447.0,74.0
368448.0,74.0
368449.0,98.0
368450.0,64.0
368453.0,57.0
368454.0,99.0
368455.0,92.0
368456.0,86.0
368457.0,77.0
368458.0,73.0
368459.0,82.0
368462.0,68.0
368470.0,4.0
368471.0,37.0
368473.0,89.0
368474.0,51.0
368475.0,89.0
368476.0,96.0
368477.0,80.0
368481.0,63.0
368482.0,20.0
368483.0,4.0
368484.0,93.0
368485.0,60.0
368487.0,61.0
368489.0,81.0
368498.0,93.0
368499.0,60.0
368502.0,94.0
368507.0,94.0
368508.0,73.0
368509.0,78.0
368510.0,86.0
368511.0,83.0
368512.0,56.0
368513.0,78.0
368515.0,89.0
368517.0,30.0
368518.0,35.0
368519.0,52.0
368523.0,84.0
368525.0,97.0
368534.0,92.0
368535.0,75.0
368537.0,78.0
368538.0,60.0
368540.0,95.0
368541.0,84.0
368542.0,90.0
368544.0,75.0
368546.0,82.0
368547.0,69.0
368550.0,79.0
368551.0,100.0
368554.0,93.0
368555.0,34.0
368556.0,87.0
368558.0,83.0
368559.0,68.0
368561.0,32.0
368564.0,100.0
368566.0,64.0
368567.0,44.0
368568.0,21.0
368569.0,94.0
368570.0,99.0
368571.0,28.0
368572.0,79.0
368574.0,90.0
368575.0,78.0
368576.0,93.0
368578.0,60.0
368579.0,79.0
368580.0,57.0
368581.0,79.0
368582.0,100.0
368585.0,68.0
368587.0,76.0
368588.0,42.0
368589.0,92.0
368590.0,74.0
368592.0,95.0
368593.0,67.0
368595.0,55.0
368597.0,93.0
368598.0,90.0
368599.0,47.0
368600.0,95.0
368604.0,43.0
368605.0,58.0
368606.0,74.0
368608.0,80.0
368610.0,86.0
368612.0,97.0
368613.0,86.0
368614.0,96.0
368616.0,90.0
368619.0,91.0
368620.0,56.0
368622.0,28.0
368627.0,78.0
368628.0,82.0
368632.0,95.0
368633.0,89.0
368634.0,74.0
368635.0,51.0
368637.0,93.0
368640.0,69.0
368643.0,93.0
368644.0,35.0
368645.0,74.0
368648.0,80.0
368650.0,12.0
368653.0,100.0
368654.0,94.0
368656.0,60.0
368658.0,79.0
368659.0,84.0
368660.0,84.0
368663.0,47.0
368665.0,72.0
368672.0,77.0
368674.0,91.0
368675.0,98.0
368678.0,100.0
368679.0,80.0
368680.0,20.0
368682.0,91.0
368683.0,93.0
368686.0,85.0
368688.0,57.0
368689.0,97.0
368690.0,98.0
368694.0,92.0
368697.0,86.0
368701.0,89.0
368702.0,68.0
368703.0,68.0
368704.0,89.0
368705.0,56.0
368706.0,82.0
368707.0,94.0
368709.0,79.0
368711.0,87.0
368712.0,96.0
368713.0,72.0
368714.0,78.0
368715.0,94.0
368716.0,93.0
368717.0,87.0
368718.0,88.0
368724.0,74.0
368725.0,72.0
368726.0,69.0
368727.0,31.0
368731.0,40.0
368732.0,91.0
368733.0,72.0
368736.0,84.0
368739.0,36.0
368740.0,98.0
368742.0,82.0
368743.0,57.0
368745.0,21.0
368746.0,68.0
368747.0,77.0
368748.0,92.0
368749.0,89.0
368752.0,63.0
368753.0,93.0
368755.0,95.0
368756.0,96.0
368757.0,16.0
368759.0,69.0
368760.0,71.0
368761.0,93.0
368763.0,98.0
368764.0,94.0
368766.0,88.0
368767.0,87.0
368769.0,93.0
368771.0,10.0
368774.0,98.0
368775.0,90.0
368776.0,82.0
368777.0,87.0
368779.0,72.0
368782.0,92.0
368783.0,55.0
368786.0,85.0
368787.0,53.0
368788.0,62.0
368790.0,89.0
368791.0,92.0
368793.0,38.0
368796.0,91.0
368797.0,98.0
368800.0,100.0
368804.0,88.0
368805.0,95.0
368807.0,71.0
368809.0,98.0
368812.0,62.0
368816.0,90.0
368817.0,61.0
368818.0,13.0
368819.0,65.0
368822.0,94.0
368828.0,82.0
368829.0,76.0
368830.0,40.0
368831.0,73.0
368833.0,77.0
368836.0,89.0
368837.0,52.0
368838.0,86.0
368840.0,93.0
368842.0,96.0
368843.0,76.0
368844.0,55.0
368845.0,84.0
368848.0,91.0
368849.0,88.0
368851.0,65.0
368852.0,83.0
368853.0,95.0
368854.0,41.0
368856.0,99.0
368857.0,86.0
368860.0,78.0
368862.0,62.0
368863.0,88.0
368865.0,85.0
368866.0,89.0
368868.0,98.0
368871.0,70.0
368872.0,91.0
368875.0,81.0
368877.0,88.0
368879.0,91.0
368883.0,98.0
368885.0,98.0
368887.0,50.0
368889.0,98.0
368891.0,87.0
368893.0,96.0
368894.0,79.0
368896.0,92.0
368897.0,92.0
368898.0,55.0
368899.0,97.0
368901.0,90.0
368905.0,94.0
368907.0,79.0
368908.0,99.0
368909.0,86.0
368910.0,86.0
368911.0,92.0
368913.0,69.0
368914.0,93.0
368915.0,96.0
368916.0,63.0
368917.0,100.0
368919.0,93.0
368921.0,62.0
368923.0,86.0
368925.0,74.0
368926.0,88.0
368927.0,65.0
368928.0,88.0
368930.0,32.0
368933.0,14.0
368935.0,56.0
368937.0,91.0
368938.0,87.0
368939.0,94.0
368940.0,89.0
368941.0,69.0
368942.0,93.0
368945.0,97.0
368946.0,56.0
368947.0,90.0
368951.0,92.0
368952.0,95.0
368953.0,77.0
368959.0,89.0
368961.0,83.0
368962.0,68.0
368968.0,81.0
368969.0,100.0
368970.0,86.0
368972.0,55.0
368974.0,43.0
368975.0,71.0
368977.0,92.0
368978.0,89.0
368980.0,87.0
368981.0,100.0
368982.0,71.0
368983.0,35.0
368984.0,64.0
368986.0,81.0
368987.0,84.0
368991.0,91.0
369001.0,81.0
369002.0,89.0
369003.0,95.0
369004.0,68.0
369005.0,79.0
369006.0,94.0
369009.0,59.0
369010.0,81.0
369011.0,97.0
369012.0,97.0
369013.0,97.0
369014.0,58.0
369016.0,94.0
369018.0,82.0
369021.0,84.0
369023.0,70.0
369024.0,95.0
369029.0,97.0
369038.0,91.0
369039.0,72.0
369041.0,7.0
369042.0,62.0
369044.0,40.0
369046.0,93.0
369047.0,77.0
369048.0,32.0
369050.0,91.0
369051.0,64.0
369056.0,89.0
369057.0,92.0
369059.0,68.0
369062.0,91.0
369064.0,72.0
369065.0,90.0
369067.0,89.0
369068.0,99.0
369069.0,88.0
369071.0,97.0
369075.0,96.0
369077.0,93.0
369078.0,99.0
369079.0,61.0
369080.0,99.0
369081.0,100.0
369082.0,98.0
369083.0,99.0
369084.0,34.0
369085.0,73.0
369088.0,89.0
369089.0,81.0
369091.0,85.0
369092.0,86.0
369093.0,96.0
369096.0,86.0
369097.0,73.0
369098.0,88.0
369099.0,61.0
369100.0,90.0
369101.0,56.0
369103.0,46.0
369104.0,88.0
369108.0,18.0
369113.0,4.0
369114.0,97.0
369119.0,72.0
369121.0,90.0
369122.0,94.0
369123.0,98.0
369124.0,76.0
369125.0,99.0
369126.0,93.0
369130.0,38.0
369131.0,72.0
369132.0,26.0
369134.0,37.0
369141.0,80.0
369142.0,47.0
369143.0,50.0
369144.0,95.0
369145.0,75.0
369146.0,100.0
369149.0,41.0
369150.0,82.0
369151.0,58.0
369152.0,89.0
369153.0,89.0
369154.0,94.0
369156.0,97.0
369159.0,38.0
369161.0,99.0
369162.0,70.0
453455.0,73.0
453457.0,63.0
453459.0,84.0
453460.0,15.0
453461.0,25.0
453462.0,91.0
453464.0,19.0
453468.0,23.0
453469.0,85.0
453470.0,69.0
453471.0,73.0
453473.0,91.0
453476.0,69.0
453477.0,45.0
453480.0,70.0
453481.0,31.0
453482.0,97.0
453483.0,75.0
453484.0,5.0
453485.0,65.0
453488.0,96.0
453492.0,38.0
453493.0,87.0
453495.0,3.0
453498.0,95.0
453499.0,67.0
453500.0,95.0
453501.0,89.0
453504.0,10.0
453508.0,80.0
453511.0,48.0
453513.0,91.0
453514.0,86.0
453518.0,34.0
453520.0,78.0
453522.0,29.0
453523.0,69.0
453524.0,79.0
453527.0,50.0
453529.0,49.0
453531.0,72.0
453532.0,36.0
453533.0,63.0
453534.0,48.0
453535.0,57.0
453537.0,67.0
453538.0,61.0
453541.0,69.0
453543.0,57.0
453544.0,34.0
453546.0,97.0
453547.0,100.0
453550.0,97.0
453551.0,58.0
453552.0,86.0
453553.0,77.0
453554.0,0.0
453555.0,85.0
453556.0,95.0
453558.0,95.0
453559.0,89.0
453560.0,52.0
453561.0,61.0
453563.0,83.0
453564.0,79.0
453565.0,84.0
453566.0,84.0
453569.0,67.0
453570.0,16.0
453571.0,55.0
453575.0,90.0
453576.0,62.0
453578.0,73.0
453580.0,35.0
453582.0,26.0
453584.0,90.0
453585.0,99.0
453586.0,90.0
453587.0,69.0
453588.0,100.0
453590.0,84.0
453591.0,84.0
453594.0,83.0
453598.0,37.0
453600.0,99.0
453601.0,29.0
453602.0,81.0
453603.0,56.0
453606.0,62.0
453607.0,44.0
453609.0,91.0
453610.0,89.0
453611.0,95.0
453612.0,88.0
453613.0,86.0
453617.0,14.0
453618.0,58.0
453619.0,34.0
453620.0,99.0
453622.0,42.0
453624.0,65.0
453625.0,100.0
453626.0,91.0
453627.0,83.0
453632.0,80.0
453634.0,100.0
453636.0,59.0
453637.0,88.0
453640.0,99.0
453641.0,90.0
453642.0,46.0
453643.0,6.0
453645.0,60.0
453646.0,91.0
453648.0,17.0
453650.0,72.0
453651.0,41.0
453654.0,95.0
453656.0,86.0
453657.0,99.0
453658.0,100.0
453660.0,78.0
453662.0,81.0
453663.0,67.0
453664.0,87.0
453665.0,82.0
453666.0,90.0
453667.0,56.0
453668.0,93.0
453672.0,86.0
453673.0,77.0
453674.0,61.0
453675.0,93.0
453677.0,84.0
453679.0,93.0
453680.0,39.0
453682.0,71.0
453683.0,62.0
453684.0,94.0
453685.0,13.0
453686.0,7.0
453688.0,40.0
453691.0,64.0
453694.0,96.0
453695.0,93.0
453697.0,98.0
453698.0,99.0
453699.0,40.0
453700.0,42.0
453702.0,45.0
453703.0,85.0
453704.0,26.0
453705.0,73.0
453706.0,32.0
453708.0,83.0
453709.0,84.0
453710.0,64.0
453711.0,99.0
453715.0,57.0
453716.0,94.0
453717.0,90.0
453719.0,93.0
453720.0,100.0
453723.0,90.0
453726.0,95.0
453727.0,29.0
453729.0,83.0
453731.0,96.0
453732.0,16.0
453733.0,67.0
453735.0,85.0
453736.0,43.0
453737.0,100.0
453739.0,78.0
453740.0,88.0
453744.0,71.0
453745.0,66.0
453746.0,61.0
453750.0,13.0
453751.0,95.0
453752.0,99.0
453755.0,42.0
453756.0,18.0
453757.0,97.0
453762.0,80.0
453765.0,49.0
453766.0,29.0
453767.0,16.0
453768.0,91.0
453771.0,95.0
453772.0,94.0
453773.0,46.0
453774.0,81.0
453777.0,66.0
453779.0,96.0
453785.0,94.0
453787.0,83.0
453790.0,6.0
453791.0,97.0
453792.0,74.0
453793.0,78.0
453794.0,43.0
453796.0,93.0
453797.0,83.0
453798.0,90.0
453799.0,22.0
453803.0,26.0
453804.0,25.0
453805.0,36.0
453806.0,85.0
453807.0,83.0
453809.0,90.0
453811.0,36.0
453812.0,94.0
453813.0,69.0
453814.0,100.0
453815.0,33.0
453816.0,15.0
453818.0,99.0
453821.0,39.0
453822.0,61.0
453823.0,88.0
453824.0,66.0
453825.0,92.0
453828.0,75.0
453829.0,26.0
453831.0,85.0
453832.0,87.0
453834.0,74.0
453836.0,78.0
453838.0,64.0
453840.0,100.0
453841.0,99.0
453842.0,89.0
453843.0,71.0
453844.0,88.0
453845.0,60.0
453847.0,21.0
453849.0,67.0
453850.0,38.0
453851.0,53.0
453853.0,94.0
453857.0,51.0
453858.0,52.0
453859.0,78.0
453860.0,76.0
453862.0,97.0
453866.0,36.0
453868.0,97.0
453869.0,79.0
453873.0,92.0
453875.0,78.0
453881.0,48.0
453884.0,83.0
453888.0,100.0
453889.0,70.0
453893.0,65.0
453895.0,79.0
453897.0,96.0
453899.0,19.0
453900.0,33.0
453901.0,83.0
453902.0,88.0
453904.0,51.0
453906.0,59.0
453911.0,61.0
453912.0,82.0
453914.0,32.0
453916.0,40.0
453919.0,80.0
453920.0,3.0
453922.0,39.0
453925.0,41.0
453927.0,95.0
453928.0,86.0
453930.0,100.0
453931.0,88.0
453932.0,93.0
453934.0,91.0
453938.0,93.0
453939.0,96.0
453940.0,66.0
453941.0,79.0
453942.0,91.0
453944.0,98.0
453947.0,84.0
453948.0,93.0
453950.0,71.0
453952.0,57.0
453953.0,14.0
453955.0,88.0
453956.0,87.0
453958.0,29.0
453961.0,42.0
453966.0,89.0
453967.0,40.0
453970.0,34.0
453971.0,32.0
453973.0,54.0
453974.0,99.0
453975.0,61.0
453976.0,41.0
453977.0,44.0
453978.0,55.0
453979.0,80.0
453980.0,84.0
453981.0,92.0
453982.0,54.0
453985.0,9.0
453986.0,11.0
453987.0,75.0
453988.0,97.0
453991.0,46.0
453994.0,21.0
453996.0,61.0
453998.0,43.0
454000.0,77.0
454001.0,86.0
454002.0,20.0
454003.0,92.0
454005.0,57.0
454006.0,67.0
454007.0,86.0
454008.0,4.0
454009.0,63.0
454010.0,77.0
454013.0,27.0
454014.0,57.0
454015.0,79.0
454016.0,84.0
454018.0,100.0
454020.0,98.0
454023.0,66.0
454025.0,15.0
454027.0,38.0
454029.0,72.0
454031.0,12.0
454032.0,84.0
454035.0,11.0
454036.0,48.0
454037.0,70.0
454039.0,81.0
454040.0,88.0
454041.0,98.0
454042.0,100.0
454044.0,76.0
454046.0,79.0
454047.0,36.0
454049.0,77.0
454050.0,80.0
454051.0,84.0
454052.0,90.0
454053.0,93.0
454054.0,51.0
454055.0,89.0
454057.0,95.0
454059.0,87.0
454060.0,79.0
454061.0,88.0
454062.0,99.0
454063.0,90.0
454064.0,73.0
454069.0,60.0
454071.0,84.0
454072.0,33.0
454074.0,54.0
454076.0,65.0
454077.0,64.0
454078.0,95.0
454080.0,68.0
454081.0,22.0
454082.0,6.0
454083.0,51.0
454084.0,82.0
454088.0,20.0
454089.0,60.0
454093.0,48.0
454097.0,34.0
454098.0,40.0
454101.0,91.0
454102.0,89.0
454103.0,73.0
454106.0,91.0
454107.0,3.0
454109.0,8.0
454112.0,68.0
454114.0,83.0
454115.0,10.0
454116.0,100.0
454121.0,72.0
454122.0,90.0
454123.0,83.0
454124.0,47.0
454125.0,85.0
454126.0,81.0
454127.0,88.0
454128.0,90.0
454129.0,82.0
454130.0,66.0
454131.0,93.0
454133.0,90.0
454134.0,65.0
454136.0,30.0
454138.0,100.0
454140.0,0.0
454144.0,32.0
454145.0,72.0
454147.0,18.0
454150.0,63.0
454151.0,58.0
454153.0,60.0
454154.0,32.0
454156.0,98.0
454157.0,94.0
454161.0,49.0
454162.0,81.0
454163.0,92.0
454164.0,91.0
454166.0,90.0
454167.0,93.0
454168.0,67.0
454171.0,48.0
454173.0,35.0
454177.0,56.0
454179.0,68.0
454180.0,13.0
454184.0,63.0
454185.0,94.0
454188.0,33.0
454189.0,75.0
454192.0,100.0
454193.0,100.0
454194.0,86.0
454196.0,87.0
454197.0,100.0
454198.0,45.0
454200.0,95.0
454201.0,51.0
454202.0,34.0
454203.0,89.0
454205.0,49.0
454206.0,75.0
454207.0,100.0
454208.0,4.0
454211.0,57.0
454212.0,81.0
454213.0,51.0
454214.0,100.0
454215.0,87.0
454217.0,87.0
454222.0,87.0
454223.0,85.0
454224.0,63.0
454225.0,88.0
454227.0,71.0
454228.0,71.0
454231.0,82.0
454233.0,100.0
454235.0,33.0
454236.0,81.0
454237.0,21.0
454238.0,39.0
454239.0,92.0
454240.0,75.0
454241.0,61.0
454242.0,96.0
454244.0,85.0
454246.0,63.0
454248.0,81.0
454252.0,87.0
454257.0,61.0
454258.0,62.0
454260.0,82.0
454264.0,27.0
454265.0,77.0
454266.0,99.0
454268.0,20.0
454269.0,82.0
454270.0,40.0
454272.0,94.0
454273.0,89.0
454275.0,76.0
454280.0,84.0
454282.0,64.0
454284.0,72.0
454287.0,67.0
454288.0,79.0
454289.0,69.0
454290.0,100.0
454292.0,93.0
454293.0,15.0
454296.0,92.0
454297.0,72.0
454298.0,24.0
454303.0,21.0
454304.0,40.0
454305.0,1.0
454307.0,62.0
454308.0,95.0
454311.0,13.0
454312.0,88.0
454314.0,73.0
454315.0,77.0
454317.0,18.0
454318.0,74.0
454319.0,64.0
454321.0,94.0
454323.0,53.0
454325.0,74.0
454327.0,82.0
454329.0,65.0
454331.0,47.0
454332.0,1.0
454333.0,91.0
454334.0,49.0
454335.0,84.0
454336.0,30.0
454337.0,89.0
454339.0,44.0
454342.0,89.0
454343.0,94.0
454344.0,74.0
454346.0,82.0
454347.0,88.0
454350.0,52.0
454352.0,94.0
454354.0,52.0
454355.0,74.0
454356.0,24.0
454358.0,50.0
454360.0,37.0
454361.0,79.0
454363.0,92.0
454364.0,50.0
454365.0,14.0
454366.0,14.0
454370.0,71.0
454374.0,98.0
454375.0,87.0
454376.0,93.0
454377.0,83.0
454378.0,95.0
454381.0,98.0
454382.0,88.0
454383.0,17.0
454384.0,85.0
454386.0,100.0
454390.0,66.0
454392.0,99.0
454394.0,90.0
454396.0,68.0
454397.0,75.0
454398.0,78.0
454399.0,100.0
